airport_id,airport_identifier,airporttype_id,airport_name,lat_deg,long_deg,elev_ft,city_id,scheduled_service,gps_code,iata_code,icao_code,local_code,home_link,wikipedia_link,keywords
1,00A,3,Total RF Heliport,40.070985,-74.933689,11,31207,no,K00A,,,00A,https://www.penndot.pa.gov/TravelInPA/airports-pa/Pages/Total-RF-Heliport.aspx,,
2,00AA,6,Aero B Ranch Airport,38.704022,-101.473911,3435,31860,no,00AA,,,00AA,,,
3,00AK,6,Lowell Field,59.947733,-151.692524,450,32171,no,00AK,,,00AK,,,
4,00AL,6,Epps Airpark,34.86479949951172,-86.77030181884766,820,28951,no,00AL,,,00AL,,,
5,00AN,6,Katmai Lodge Airport,59.093287,-156.456699,80,32171,no,00AN,,,00AN,,,
6,00AS,6,Fulton Airport,34.9428028,-97.8180194,1100,29751,no,00AS,,,00AS,,,
7,00AZ,6,Cordes Airport,34.305599212646484,-112.16500091552734,3810,31389,no,00AZ,,,00AZ,,,
8,00CA,6,Goldstone (GTS) Airport,35.35474,-116.885329,3038,31433,no,00CA,,,00CA,,https://en.wikipedia.org/wiki/Goldstone_Gts_Airport,
9,00CL,6,Williams Ag Airport,39.427188,-121.763427,87,31654,no,00CL,,,00CL,,,
10,00CN,3,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,3350,21887,no,00CN,,,00CN,,,
11,00FA,6,Grass Patch Airport,28.64550018310547,-82.21900177001953,53,29127,no,00FA,,,00FA,,,
12,00FL,6,River Oak Airport,27.230899810791016,-80.96920013427734,35,29180,no,00FL,,,00FL,,,
13,00GA,6,Lt World Airport,33.76750183105469,-84.06829833984375,700,29293,no,00GA,,,00GA,,,
14,00GE,3,Caffrey Heliport,33.887982,-84.736983,957,29263,no,00GE,,,00GE,,,
15,00HI,3,Kaupulehu Heliport,19.832881,-155.978347,43,32167,no,00HI,,,00HI,,,
16,00ID,6,Delta Shores Airport,48.145301818847656,-116.21399688720703,2064,31938,no,00ID,,,00ID,,,
17,00IG,6,Goltl Airport,39.724028,-101.395994,3359,31964,no,00IG,,,00IG,,,
18,00IL,6,Hammer Airport,41.978401,-89.560402,840,30286,no,00IL,,,00IL,,,Radio Ranch
19,00IN,3,St Mary Medical Center Heliport,41.51139831542969,-87.2605972290039,634,30444,no,00IN,,,00IN,,,
20,00IS,6,Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,820,29320,no,00IS,,,00IS,,,
21,00KS,6,Hayden Farm Airport,38.72779846191406,-94.93049621582031,1100,29360,no,00KS,,,00KS,,,
22,00KY,6,Robbins Roost Airport,37.409400939941406,-84.61969757080078,1265,29384,no,00KY,,,00KY,,,
23,00LA,3,Shell Chemical East Site Heliport,30.191944,-90.980833,15,29439,no,00LA,,,00LA,,,
24,00LL,3,Ac & R Components Heliport,39.66529846191406,-89.70559692382812,600,30273,no,00LL,,,00LL,,,
25,00LS,6,Lejeune Airport,30.136299,-92.429398,12,29428,no,00LS,,,00LS,,,
26,00MD,6,Slater Field,38.75709915161133,-75.75379943847656,45,29473,no,00MD,,,00MD,,,
27,00MI,3,Dow Chemical Heliport,43.94940185546875,-86.41670227050781,588,30646,no,00MI,,,00MI,,,
28,00MN,6,Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344,1365,30719,no,00MN,,,00MN,,,
29,00MO,6,Cooper Flying Service Airport,37.202800750732,-94.412399291992,970,29565,no,00MO,,,00MO,,,5K8
30,00MT,3,Livingston Healthcare Heliport,45.675,-110.52515,4465,30820,no,00MT,,,00MT,,,
31,00N,6,Bucks Airport,39.472998,-75.184346,105,29691,no,K00N,,,00N,,https://en.wikipedia.org/wiki/Bucks_Airport,
32,00NC,6,North Raleigh Airport,36.085201263427734,-78.37139892578125,348,29684,no,00NC,,,00NC,,,
33,00NJ,3,Colgate-Piscataway Heliport,40.52090072631836,-74.47460174560547,78,30831,no,00NJ,,,00NJ,,,
34,00NK,5,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96,31045,no,00NK,,,00NK,,,
35,00NR,3,Rodanthe Dare County Heliport,35.594729,-75.470002,8,29642,no,00NR,,,00NR,,,
36,00NY,6,Weiss Airfield,42.89576,-77.495263,1000,30970,no,00NY,,,00NY,,,
37,00OI,3,Miami Valley Hospital Heliport,39.745091,-84.187278,905,29715,no,00OI,,,00OI,,,
38,00OK,6,Gull Bay Landing Airport,36.198598,-96.217693,960,29770,no,00OK,,,00OK,,,
39,00OR,3,Steel Systems Heliport,44.932899475097656,-123.12999725341797,195,30114,no,00OR,,,00OR,,,
40,00PA,3,R J D Heliport,39.94889831542969,-75.74690246582031,402,29797,no,00PA,,,00PA,,,
41,00PN,6,Ferrell Field,41.2995,-80.211111,1301,31218,no,00PN,,,00PN,,,
42,00S,6,McKenzie Bridge State Airport,44.181466,-122.086,1620,31971,no,K00S,,,00S,,https://en.wikipedia.org/wiki/McKenzie_Bridge_State_Airport,
43,00SC,6,Flying O Airport,34.0093994140625,-80.26719665527344,150,29831,no,00SC,,,00SC,,,
44,00SD,6,Homan Field,44.809158,-96.498897,1590,30438,no,00SD,,,00SD,,,
45,00TE,3,Tcjc-Northeast Campus Heliport,32.847599029541016,-97.18949890136719,600,29938,no,00TE,,,00TE,,,
46,00TS,6,Alpine Range Airport,32.607601165771484,-97.24199676513672,670,29904,no,00TS,,,00TS,,,
47,00TT,6,Nowhere Airport,34.516606,-99.93694,1752,29745,no,00TT,,,00TT,,,
48,00VA,6,Vaughan Airport,36.574964,-78.998437,551,29315,no,00VA,,,00VA,,,
49,00VI,6,Groundhog Mountain Airport,36.663299560546875,-80.49949645996094,2680,30109,no,00VI,,,00VI,,,
50,00W,6,Lower Granite State Airport,46.672884,-117.441933,719,32113,no,K00W,,,00W,http://www.wsdot.wa.gov/aviation/AllStateAirports/Colfax_LowerGraniteState.htm,,0WA0
51,00WA,6,Howell Airport,47.17839813232422,-122.77200317382812,150,32090,no,00WA,,,00WA,,,
52,00WI,6,Northern Lite Airport,44.304298400878906,-89.05010223388672,860,31292,no,00WI,,,00WI,,,
53,00WN,6,Hawks Run Airport,46.25,-117.2490005493164,2900,31943,no,00WN,,,00WN,,,
54,00WV,6,Lazy J. Aerodrome,38.82889938354492,-79.86609649658203,2060,30479,no,00WV,,,00WV,,,
55,00WY,3,Mountain View Regional Hospital Heliport,42.840361,-106.224443,5210,32141,no,00WY,,,00WY,,,
56,00XA,6,Weeski Ranch Airport,30.224,-96.01417,271,29899,no,00XA,,,00XA,,,
57,01A,6,Purkeypile Airport,62.940833,-152.269722,2041,32171,no,K01A,,,01A,,,
58,01AK,3,Providence Seward Medical Center Heliport,60.105873975399994,-149.446249008,120,32169,no,01AK,,,01AK,,,
59,01AL,6,Ware Island Airport,32.94599914550781,-86.51390075683594,344,28961,no,01AL,,,01AL,,,
60,01AN,6,McHone Heights Airport,61.649095,-149.339025,610,32169,no,01AN,,,01AN,,,
61,01AR,3,DeQueen Medical Center Heliport,34.047456,-94.354023,440,28992,no,01AR,,,01AR,,,Community Hospital of DeQueen Heliport
62,01AZ,3,Yat Heliport,34.607406,-111.8609,3300,31389,no,01AZ,,,01AZ,,,
63,01CA,3,SCE Lugo Substation Heliport,34.368241,-117.370059,3733,31550,no,01CA,,,01CA,,,
64,01CL,6,Swansboro Country Airport,38.7999,-120.734001,2594,31458,no,01CL,,,01CL,,https://en.wikipedia.org/wiki/Swansboro_Country_Airport,
